Date : 2024-03-30 09:02:21
Directory : c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024
Total : 74 files,  9785 codes, 182 comments, 911 blanks, all 10878 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commands\ElevatorShoot.java            | Java               |        100 |          0 |         14 |        114 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commands\Fender.java                   | Java               |        100 |          0 |         14 |        114 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commands\Ground.java                   | Java               |         59 |          0 |         10 |         69 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commands\Level.java                    | Java               |         29 |          0 |          7 |         36 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commands\MovingRangedShot.java         | Java               |        185 |          0 |         22 |        207 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commands\NoteDetect.java               | Java               |         63 |          3 |         21 |         87 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commands\Pass.java                     | Java               |         93 |          0 |         13 |        106 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commands\ShutOff.java                  | Java               |         18 |          0 |          4 |         22 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commands\SpinUp.java                   | Java               |         18 |          0 |          4 |         22 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commands\StationaryRangedShot.java     | Java               |        202 |          0 |         24 |        226 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commands\TelemetryCommands.java        | Java               |        112 |          0 |         17 |        129 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commands\Trap.java                     | Java               |         43 |          0 |          7 |         50 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\subsystems\BottomShooterSubsystem.java | Java               |         90 |          0 |         18 |        108 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\subsystems\DriveSubsystem.java         | Java               |        365 |          0 |         33 |        398 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\subsystems\ElevatorSubsystem.java      | Java               |        116 |          0 |         19 |        135 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\subsystems\InnerIntakeSubsystem.java   | Java               |         89 |          0 |         17 |        106 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\subsystems\MechanismSubsystem.java     | Java               |         36 |          1 |         10 |         47 |
